               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1033,             0.17185,            0.052857,             0.01159,            0.046828,             0.01095,           0.0032771,            0.093729,             0.18806,            0.054287,            0.070882,           0.0032353,           0.0032353
                   1,            0.081165,             0.13883,             0.05239,           0.0094607,             0.13189,            0.012506,           0.0028063,            0.092043,             0.14271,            0.052676,            0.040879,           0.0065654,           0.0065654
                   2,            0.074068,             0.13467,            0.051302,            0.032523,             0.34411,            0.051569,            0.022161,            0.070316,             0.11805,            0.050596,            0.010873,           0.0098922,           0.0098922
                   3,             0.07293,             0.12478,            0.050638,            0.018962,             0.24301,            0.025618,           0.0075261,            0.078443,             0.12385,            0.049907,           0.0099851,           0.0099851,           0.0099851
                   4,            0.063512,             0.12222,            0.050161,            0.027191,             0.30166,            0.038701,            0.017915,            0.068853,             0.13551,            0.049343,           0.0099851,           0.0099851,           0.0099851
                   5,            0.056152,             0.11902,             0.04978,            0.031721,             0.30322,            0.042507,            0.018229,            0.076139,             0.14447,            0.048702,           0.0099802,           0.0099802,           0.0099802
                   6,            0.056182,             0.11454,            0.049317,            0.052025,             0.51773,            0.096965,             0.04998,            0.059243,             0.11016,            0.048333,           0.0099753,           0.0099753,           0.0099753
                   7,            0.052052,             0.10855,            0.048911,            0.051477,             0.54793,            0.088421,            0.047458,            0.050397,             0.10442,            0.047963,           0.0099703,           0.0099703,           0.0099703
                   8,             0.04995,             0.10449,            0.048438,            0.045933,             0.50136,            0.073217,              0.0373,            0.054194,             0.10705,            0.047333,           0.0099654,           0.0099654,           0.0099654
                   9,            0.047087,             0.10771,            0.047887,             0.05816,             0.60666,             0.11108,            0.056939,            0.053274,             0.10697,            0.046293,           0.0099604,           0.0099604,           0.0099604
                  10,            0.046056,             0.10611,            0.047311,            0.064308,             0.66336,             0.13015,            0.063247,            0.049959,              0.1004,            0.045403,           0.0099555,           0.0099555,           0.0099555
                  11,             0.04575,             0.10301,            0.046532,            0.059654,             0.62784,             0.12248,            0.047931,              0.0554,              0.1047,            0.044484,           0.0099505,           0.0099505,           0.0099505
                  12,            0.048185,             0.10278,            0.045955,            0.076542,             0.75515,             0.16369,             0.10358,            0.043456,            0.096585,            0.044355,           0.0099456,           0.0099456,           0.0099456
                  13,            0.044544,             0.10083,            0.045261,            0.073565,             0.77172,             0.19582,            0.098922,            0.050243,             0.10112,            0.042788,           0.0099406,           0.0099406,           0.0099406
                  14,            0.046049,             0.10071,            0.044591,             0.25967,              0.4409,             0.23629,            0.093146,            0.049511,             0.10098,            0.042448,           0.0099357,           0.0099357,           0.0099357
                  15,            0.045253,            0.098942,            0.043814,             0.23765,             0.48479,             0.28047,             0.15268,            0.044902,            0.097178,            0.041455,           0.0099307,           0.0099307,           0.0099307
                  16,             0.04642,            0.093995,            0.043116,             0.26872,             0.47029,             0.30173,             0.14715,            0.044705,            0.099406,            0.041118,           0.0099258,           0.0099258,           0.0099258
                  17,            0.044874,            0.095148,            0.042286,             0.31815,             0.46584,              0.3109,             0.14764,            0.051114,              0.1015,            0.040616,           0.0099208,           0.0099208,           0.0099208
                  18,            0.044086,            0.095583,            0.041807,             0.41548,             0.39157,             0.36647,             0.21627,            0.043404,            0.097424,            0.040089,           0.0099159,           0.0099159,           0.0099159
                  19,            0.041123,            0.093389,            0.041311,             0.34521,             0.43387,             0.38927,             0.21685,            0.044731,            0.098317,             0.03951,           0.0099109,           0.0099109,           0.0099109
                  20,            0.042321,            0.093414,            0.040356,              0.4002,             0.46471,             0.43987,             0.25123,            0.042038,            0.096026,            0.038551,            0.009906,            0.009906,            0.009906
                  21,            0.042816,            0.090116,            0.039694,             0.37564,             0.46152,             0.45818,              0.2303,            0.047515,             0.10296,             0.03821,            0.009901,            0.009901,            0.009901
                  22,            0.042183,            0.089168,            0.039097,             0.32533,             0.49033,             0.45417,             0.27802,            0.041013,            0.096748,            0.037936,           0.0098961,           0.0098961,           0.0098961
                  23,            0.040024,            0.090253,            0.038351,             0.32487,             0.55601,             0.48065,             0.28252,            0.044236,            0.097624,            0.036698,           0.0098911,           0.0098911,           0.0098911
                  24,            0.041077,            0.091401,            0.037811,             0.31743,             0.52797,             0.46272,              0.2725,            0.041345,            0.095187,            0.036438,           0.0098861,           0.0098861,           0.0098861
                  25,            0.037828,            0.093031,            0.037102,             0.37167,             0.53464,             0.51139,             0.31571,            0.041912,             0.09651,            0.035548,           0.0098812,           0.0098812,           0.0098812
                  26,            0.041586,            0.086584,            0.036434,             0.32704,             0.53467,             0.48464,             0.33388,            0.037723,            0.096201,            0.035479,           0.0098763,           0.0098763,           0.0098763
                  27,            0.041484,            0.086327,            0.036155,             0.32124,             0.53238,             0.48153,             0.23335,            0.048975,             0.10245,            0.034752,           0.0098713,           0.0098713,           0.0098713
                  28,            0.040031,            0.089263,            0.035504,             0.35751,             0.56041,             0.51555,             0.30691,            0.044304,             0.10031,             0.03416,           0.0098664,           0.0098664,           0.0098664
                  29,            0.041745,            0.084218,            0.034705,             0.40922,             0.57331,             0.53363,             0.34582,            0.040755,            0.098388,            0.033499,           0.0098614,           0.0098614,           0.0098614
                  30,            0.041597,            0.085155,            0.034416,              0.4053,              0.5857,             0.55235,             0.30797,            0.039941,            0.095755,            0.033285,           0.0098565,           0.0098565,           0.0098565
                  31,            0.040778,            0.085937,             0.03396,             0.39582,             0.53946,             0.53868,             0.31347,            0.043755,             0.10104,            0.032913,           0.0098515,           0.0098515,           0.0098515
                  32,            0.043258,            0.081318,            0.033296,             0.40559,             0.57185,             0.54348,             0.32097,            0.040472,            0.098413,            0.032278,           0.0098466,           0.0098466,           0.0098466
                  33,             0.03824,            0.085914,            0.032658,             0.44877,             0.55268,             0.55239,             0.33616,            0.040722,            0.098521,            0.031659,           0.0098416,           0.0098416,           0.0098416
                  34,            0.038892,            0.082745,            0.032237,             0.45237,             0.59564,             0.57044,             0.35613,             0.04045,            0.096936,            0.031188,           0.0098367,           0.0098367,           0.0098367
                  35,            0.039432,            0.083274,            0.031546,             0.46307,             0.58533,             0.58717,             0.40409,            0.039476,            0.096719,            0.030476,           0.0098317,           0.0098317,           0.0098317
                  36,            0.039761,            0.083054,            0.031253,             0.40237,             0.57994,             0.59681,             0.37635,            0.040518,             0.10034,            0.030588,           0.0098268,           0.0098268,           0.0098268
                  37,            0.040282,            0.081043,            0.030936,              0.4446,             0.60912,             0.59989,             0.38315,            0.043341,            0.099952,            0.029978,           0.0098218,           0.0098218,           0.0098218
                  38,            0.039331,            0.082743,            0.030661,             0.48849,             0.57235,             0.58497,             0.35141,             0.04248,             0.10128,            0.029799,           0.0098169,           0.0098169,           0.0098169
                  39,            0.039291,            0.079073,            0.029861,             0.45771,             0.60985,             0.59829,             0.36404,            0.041986,            0.097361,            0.029253,           0.0098119,           0.0098119,           0.0098119
                  40,            0.040807,             0.08017,            0.029657,             0.58827,             0.56625,             0.62492,             0.41826,            0.040404,             0.09921,            0.028748,            0.009807,            0.009807,            0.009807
                  41,            0.035731,            0.082445,            0.029237,             0.59341,             0.58835,             0.64782,             0.39802,            0.040598,             0.09855,            0.028085,            0.009802,            0.009802,            0.009802
                  42,             0.03988,            0.084594,            0.028618,             0.55627,             0.57588,             0.62979,              0.3987,            0.038718,            0.098237,             0.02813,            0.009797,            0.009797,            0.009797
                  43,            0.038279,            0.080617,            0.028334,             0.47109,             0.62342,             0.64581,             0.37244,            0.043227,            0.098809,            0.027722,           0.0097921,           0.0097921,           0.0097921
                  44,            0.039457,            0.080373,            0.027998,             0.51404,             0.60067,              0.6422,             0.40282,            0.043377,             0.10264,            0.027513,           0.0097871,           0.0097871,           0.0097871
                  45,            0.038634,            0.077264,            0.027533,             0.52015,             0.65005,              0.6713,             0.42559,            0.040048,            0.099973,            0.026781,           0.0097822,           0.0097822,           0.0097822
                  46,            0.039533,            0.082122,            0.027361,              0.5729,             0.63633,             0.68204,             0.41271,            0.040202,            0.097244,             0.02664,           0.0097773,           0.0097773,           0.0097773
                  47,            0.038817,            0.078753,            0.026729,             0.55235,               0.636,             0.67532,             0.42474,            0.042702,             0.10519,            0.026061,           0.0097723,           0.0097723,           0.0097723
                  48,            0.037812,            0.081359,            0.026506,              0.5512,             0.64253,             0.69979,              0.4575,            0.038467,             0.10109,            0.025803,           0.0097674,           0.0097674,           0.0097674
                  49,            0.037514,            0.077357,            0.026072,             0.60261,             0.62399,             0.72054,             0.46575,            0.040173,             0.10067,            0.025366,           0.0097624,           0.0097624,           0.0097624
                  50,            0.037505,            0.080195,            0.025731,              0.6534,             0.58525,              0.7252,             0.49021,            0.038655,            0.098884,            0.025538,           0.0097575,           0.0097575,           0.0097575
                  51,            0.038189,            0.075746,            0.025327,             0.64377,              0.6544,             0.74006,             0.48126,            0.039274,             0.10088,            0.024789,           0.0097525,           0.0097525,           0.0097525
                  52,            0.038402,            0.076202,            0.024984,             0.68867,             0.64027,             0.74085,             0.50109,            0.038186,             0.10199,            0.024701,           0.0097476,           0.0097476,           0.0097476
                  53,            0.037127,            0.079739,            0.024762,             0.57231,             0.64304,             0.75128,             0.45707,            0.043397,             0.10616,            0.023981,           0.0097426,           0.0097426,           0.0097426
                  54,            0.039301,            0.077023,            0.024406,             0.72846,             0.61757,             0.74144,             0.50017,            0.037788,             0.10154,            0.024064,           0.0097377,           0.0097377,           0.0097377
                  55,            0.036775,            0.076409,            0.023984,             0.65457,             0.64557,             0.75203,             0.48631,            0.040534,             0.10157,            0.023632,           0.0097327,           0.0097327,           0.0097327
                  56,            0.040553,            0.075065,            0.023716,             0.73546,             0.61401,             0.76495,               0.503,            0.039141,             0.10352,             0.02335,           0.0097278,           0.0097278,           0.0097278
                  57,            0.038547,             0.07422,            0.023476,             0.64708,             0.68153,             0.76416,             0.51424,            0.038289,            0.099598,            0.022939,           0.0097228,           0.0097228,           0.0097228
                  58,            0.037257,            0.078074,            0.023092,             0.62264,             0.69898,             0.78518,             0.55318,            0.038599,             0.10102,            0.022766,           0.0097179,           0.0097179,           0.0097179
                  59,            0.035087,            0.077956,            0.022657,             0.60761,             0.72505,             0.79792,             0.56696,            0.037353,            0.098267,            0.022183,           0.0097129,           0.0097129,           0.0097129
                  60,            0.037914,            0.075382,            0.022243,             0.63923,             0.70281,             0.79325,             0.55347,            0.037216,            0.099389,              0.0222,            0.009708,            0.009708,            0.009708
                  61,            0.037226,            0.074518,             0.02208,              0.6371,             0.73409,             0.79804,             0.54696,             0.03937,             0.10386,            0.021775,            0.009703,            0.009703,            0.009703
                  62,            0.036415,            0.077495,            0.021702,             0.64769,             0.74928,             0.78404,             0.54287,            0.037648,             0.09918,            0.021711,            0.009698,            0.009698,            0.009698
                  63,             0.03447,            0.074047,            0.021238,             0.66638,             0.75339,             0.82031,             0.55921,            0.038438,            0.099777,            0.021097,           0.0096931,           0.0096931,           0.0096931
                  64,             0.03815,            0.075555,            0.020951,             0.66594,             0.74666,             0.81984,             0.53858,            0.039057,              0.1008,            0.020755,           0.0096881,           0.0096881,           0.0096881
                  65,            0.036269,            0.074517,            0.020681,             0.68993,             0.78839,             0.83364,             0.57341,            0.038337,            0.096564,            0.020438,           0.0096832,           0.0096832,           0.0096832
                  66,            0.039282,            0.076985,            0.020459,             0.70391,              0.7407,             0.84613,             0.59517,            0.037795,             0.10029,            0.020328,           0.0096783,           0.0096783,           0.0096783
                  67,             0.03677,             0.07207,            0.020154,             0.68955,             0.76932,             0.83775,             0.56396,            0.038662,             0.10024,            0.019686,           0.0096733,           0.0096733,           0.0096733
                  68,            0.039203,             0.07211,             0.01996,             0.76888,             0.76773,               0.847,             0.59768,            0.038354,             0.10024,            0.019336,           0.0096684,           0.0096684,           0.0096684
                  69,             0.03625,            0.072805,            0.019489,             0.71684,             0.81035,             0.85769,             0.58036,            0.038954,             0.10026,            0.019103,           0.0096634,           0.0096634,           0.0096634
                  70,            0.035873,            0.074546,             0.01916,             0.77751,             0.77926,             0.86569,             0.61245,            0.036729,             0.10294,            0.018854,           0.0096585,           0.0096585,           0.0096585
                  71,            0.036254,            0.072927,            0.018888,             0.72361,               0.832,             0.87184,             0.61007,            0.037176,             0.10237,            0.018781,           0.0096535,           0.0096535,           0.0096535
                  72,            0.037005,            0.070912,            0.018652,             0.75448,             0.82184,             0.87791,             0.63653,            0.036005,            0.098312,            0.018314,           0.0096486,           0.0096486,           0.0096486
                  73,            0.036038,            0.071114,            0.018319,             0.71173,             0.85844,             0.87756,             0.62118,            0.037369,            0.099785,            0.018181,           0.0096436,           0.0096436,           0.0096436
                  74,            0.037752,            0.075466,            0.018067,              0.7641,             0.79341,             0.89767,             0.63386,            0.036117,             0.10001,            0.017926,           0.0096387,           0.0096387,           0.0096387
                  75,            0.035707,            0.072109,            0.017861,             0.77024,             0.82923,             0.89832,             0.54607,              0.0418,               0.105,            0.017585,           0.0096337,           0.0096337,           0.0096337
                  76,            0.036697,            0.073814,            0.017558,             0.78288,             0.80271,             0.90436,             0.60824,            0.039578,             0.10264,            0.017382,           0.0096288,           0.0096288,           0.0096288
                  77,            0.035603,            0.073647,            0.017264,             0.76906,             0.83546,              0.9106,             0.63449,            0.037959,            0.099948,             0.01725,           0.0096238,           0.0096238,           0.0096238
                  78,            0.035824,            0.075182,             0.01703,             0.76428,             0.84312,             0.89626,             0.62412,            0.037948,            0.098308,            0.017148,           0.0096188,           0.0096188,           0.0096188
                  79,            0.035089,            0.072365,            0.016792,             0.72721,             0.86804,             0.90072,             0.62097,             0.03674,              0.1014,            0.017498,           0.0096139,           0.0096139,           0.0096139
                  80,             0.03697,            0.072436,            0.016689,             0.77818,             0.87566,             0.91421,             0.60495,            0.038752,             0.10091,            0.016811,            0.009609,            0.009609,            0.009609
                  81,            0.035577,            0.075001,            0.016351,             0.80909,             0.84446,             0.91384,             0.65074,            0.037409,             0.09757,            0.016523,            0.009604,            0.009604,            0.009604
                  82,            0.036733,            0.073446,            0.016304,             0.81201,             0.85839,             0.91739,             0.65909,            0.036402,            0.099877,            0.016547,            0.009599,            0.009599,            0.009599
                  83,            0.035651,            0.071518,            0.016163,             0.80341,             0.85366,             0.90242,             0.66118,            0.036053,            0.099322,            0.016595,           0.0095941,           0.0095941,           0.0095941
                  84,            0.035461,            0.070748,            0.015951,             0.78234,             0.84687,             0.91876,             0.64699,            0.037429,             0.10693,            0.016188,           0.0095892,           0.0095892,           0.0095892
                  85,            0.036776,            0.070552,            0.015881,             0.79433,             0.84944,             0.91066,             0.59059,            0.040479,             0.10879,            0.016461,           0.0095842,           0.0095842,           0.0095842
                  86,            0.036603,            0.072235,            0.015565,              0.7876,             0.84613,             0.91362,             0.61949,            0.038662,             0.10707,            0.016384,           0.0095793,           0.0095793,           0.0095793
                  87,            0.034932,            0.071886,            0.015255,             0.84286,             0.84864,             0.92737,              0.6692,            0.036666,             0.10212,            0.015656,           0.0095743,           0.0095743,           0.0095743
                  88,            0.036058,            0.070266,            0.015166,              0.8083,             0.87734,             0.92763,             0.66904,            0.035784,               0.104,            0.015553,           0.0095694,           0.0095694,           0.0095694
                  89,            0.035098,             0.07139,            0.014996,             0.84147,              0.8874,             0.93699,             0.64226,              0.0374,             0.10411,            0.015057,           0.0095644,           0.0095644,           0.0095644
                  90,            0.035385,            0.071932,            0.014771,             0.82487,             0.87284,             0.92701,             0.68087,            0.035477,             0.10381,            0.015143,           0.0095595,           0.0095595,           0.0095595
                  91,             0.03576,            0.071422,            0.014735,             0.81706,             0.89525,             0.93094,              0.6629,            0.036615,             0.10085,            0.014923,           0.0095545,           0.0095545,           0.0095545
                  92,            0.036013,            0.070605,            0.014514,             0.83134,             0.90146,             0.93698,             0.67798,            0.036547,             0.10275,            0.014804,           0.0095496,           0.0095496,           0.0095496
                  93,            0.035453,            0.071146,            0.014193,             0.85779,             0.91151,             0.94736,              0.6755,            0.036072,             0.10296,            0.014678,           0.0095446,           0.0095446,           0.0095446
                  94,             0.03494,             0.06884,            0.014256,             0.85435,             0.91643,             0.95213,             0.67928,            0.036029,             0.10211,            0.014491,           0.0095397,           0.0095397,           0.0095397
                  95,            0.035694,            0.068688,            0.014247,             0.87999,             0.91815,             0.95833,             0.60293,             0.04045,             0.10655,            0.014399,           0.0095347,           0.0095347,           0.0095347
                  96,            0.036649,            0.072608,            0.013992,             0.87604,             0.88769,             0.95007,             0.65574,            0.037819,             0.10264,            0.014363,           0.0095298,           0.0095298,           0.0095298
                  97,            0.036049,            0.068318,            0.013837,              0.8955,             0.89307,             0.96197,             0.69197,            0.036693,             0.10301,            0.014308,           0.0095248,           0.0095248,           0.0095248
                  98,            0.035258,            0.071077,            0.013508,             0.88412,             0.86921,             0.94365,             0.68431,             0.03687,             0.10422,            0.014507,           0.0095198,           0.0095198,           0.0095198
                  99,             0.03495,            0.069816,            0.013379,             0.86081,              0.9102,             0.95207,             0.64481,            0.039237,             0.10874,            0.014458,           0.0095149,           0.0095149,           0.0095149
                 100,            0.037602,            0.070175,            0.013502,             0.87113,             0.90521,             0.94367,             0.65489,            0.037171,             0.10465,            0.014099,             0.00951,             0.00951,             0.00951
                 101,            0.035205,            0.066992,            0.013265,             0.87025,             0.91293,             0.94981,             0.69183,            0.036275,             0.10766,            0.013542,            0.009505,            0.009505,            0.009505
                 102,            0.036463,             0.06722,            0.013087,             0.88959,               0.906,             0.94925,             0.68385,            0.036528,              0.1095,            0.013411,              0.0095,              0.0095,              0.0095
                 103,            0.035889,            0.067909,            0.013228,             0.88141,             0.90561,             0.94415,             0.67185,            0.036317,              0.1025,            0.013482,           0.0094951,           0.0094951,           0.0094951
                 104,            0.033671,            0.071402,            0.012353,             0.87196,             0.91054,             0.94924,             0.69349,            0.035687,             0.10079,            0.013107,           0.0094902,           0.0094902,           0.0094902
                 105,             0.03455,            0.069655,            0.012483,             0.89465,             0.91685,             0.95476,             0.67694,            0.036464,             0.10342,            0.012889,           0.0094852,           0.0094852,           0.0094852
                 106,            0.034294,            0.070063,            0.012179,              0.8982,             0.92705,             0.95572,              0.7016,            0.034912,             0.10544,            0.012803,           0.0094803,           0.0094803,           0.0094803
                 107,            0.035221,            0.068996,            0.012161,             0.90391,              0.9242,             0.95564,             0.69336,            0.035575,             0.10897,            0.012729,           0.0094753,           0.0094753,           0.0094753
                 108,            0.035182,            0.067952,            0.012205,             0.88283,             0.91977,              0.9564,             0.69598,            0.035369,             0.10383,            0.012788,           0.0094704,           0.0094704,           0.0094704
                 109,            0.033714,            0.065265,            0.011871,             0.90324,             0.92589,             0.96434,             0.68725,            0.037138,             0.10402,            0.012519,           0.0094654,           0.0094654,           0.0094654
                 110,            0.035971,            0.067113,            0.012029,             0.85798,              0.8752,             0.94697,             0.65812,            0.037267,             0.10377,            0.013586,           0.0094605,           0.0094605,           0.0094605
                 111,            0.034289,             0.06968,            0.011849,             0.87045,              0.9246,             0.95181,             0.65399,            0.038806,             0.10263,            0.012936,           0.0094555,           0.0094555,           0.0094555
                 112,            0.034477,             0.07008,            0.011617,             0.88723,             0.92189,             0.95282,             0.71435,            0.035099,            0.099076,            0.012643,           0.0094506,           0.0094506,           0.0094506
                 113,            0.036366,             0.06653,            0.011848,             0.91684,             0.90379,             0.95231,             0.69413,            0.035879,             0.10191,            0.012291,           0.0094456,           0.0094456,           0.0094456
                 114,            0.033514,            0.070624,            0.011194,             0.92196,             0.91878,             0.96261,             0.71007,            0.035287,             0.10395,             0.01203,           0.0094407,           0.0094407,           0.0094407
                 115,            0.033893,            0.066839,            0.011297,              0.9079,             0.92292,             0.96617,             0.70241,            0.036141,             0.10842,            0.011879,           0.0094357,           0.0094357,           0.0094357
                 116,            0.035693,            0.066614,            0.011298,             0.91311,             0.92233,             0.96333,             0.70069,            0.036145,             0.10553,            0.012176,           0.0094307,           0.0094307,           0.0094307
                 117,            0.034052,            0.066681,            0.011052,             0.91065,             0.94472,             0.96704,             0.71338,            0.035243,             0.10634,            0.011862,           0.0094258,           0.0094258,           0.0094258
                 118,            0.034932,            0.066417,             0.01104,             0.93055,             0.92847,             0.96441,             0.68434,            0.037086,             0.10686,            0.011572,           0.0094208,           0.0094208,           0.0094208
                 119,             0.03396,            0.067251,            0.011032,             0.92211,             0.92401,             0.96627,             0.70818,            0.035751,             0.10354,            0.011555,           0.0094159,           0.0094159,           0.0094159
                 120,            0.034691,            0.066589,            0.010891,             0.91642,             0.93269,             0.97048,             0.73096,            0.034807,              0.1017,            0.011207,           0.0094109,           0.0094109,           0.0094109
