               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08186,             0.16518,                   0,             0.22984,             0.57535,             0.24764,            0.063372,            0.086819,             0.19249,                   0,            0.067971,          0.00032353,          0.00032353
                   1,            0.063769,             0.13961,                   0,             0.20673,             0.53458,             0.17693,            0.057944,            0.088252,             0.34904,                   0,            0.034969,          0.00065556,          0.00065556
                   2,            0.060008,             0.14904,                   0,             0.47857,             0.78953,             0.52983,             0.20431,            0.070378,             0.21584,                   0,           0.0019667,          0.00098627,          0.00098627
                   3,            0.058945,             0.14334,                   0,             0.55989,             0.84225,             0.62329,              0.2164,            0.069999,             0.14988,                   0,          0.00099406,          0.00099406,          0.00099406
                   4,            0.057829,             0.14174,                   0,             0.58584,              0.6581,             0.68058,             0.29346,            0.065565,             0.12396,                   0,          0.00099406,          0.00099406,          0.00099406
                   5,            0.055238,             0.13222,                   0,             0.67226,             0.79047,             0.78474,             0.36884,            0.058592,             0.12444,                   0,          0.00099208,          0.00099208,          0.00099208
                   6,            0.053032,               0.127,                   0,             0.83799,             0.93182,             0.91523,             0.41772,            0.052439,             0.11387,                   0,           0.0009901,           0.0009901,           0.0009901
                   7,            0.050654,              0.1201,                   0,             0.92918,             0.94466,             0.97677,             0.56708,            0.049858,             0.11164,                   0,          0.00098812,          0.00098812,          0.00098812
                   8,            0.050774,             0.12062,                   0,             0.85726,             0.95455,             0.94572,             0.43923,            0.050679,              0.1149,                   0,          0.00098614,          0.00098614,          0.00098614
                   9,             0.05083,             0.12417,                   0,             0.59363,             0.77767,             0.69399,             0.37131,            0.053926,             0.11388,                   0,          0.00098416,          0.00098416,          0.00098416
                  10,            0.051279,             0.12619,                   0,             0.91026,              0.9422,             0.96484,               0.536,            0.050433,             0.11501,                   0,          0.00098218,          0.00098218,          0.00098218
                  11,            0.050616,             0.12368,                   0,             0.94798,             0.95356,             0.98644,             0.59426,            0.046532,             0.10432,                   0,           0.0009802,           0.0009802,           0.0009802
                  12,            0.050966,             0.12045,                   0,             0.84273,              0.9081,             0.95124,             0.59086,            0.048858,             0.10437,                   0,          0.00097822,          0.00097822,          0.00097822
                  13,            0.050189,             0.11787,                   0,             0.93617,             0.92984,             0.97517,             0.60326,            0.046408,               0.108,                   0,          0.00097624,          0.00097624,          0.00097624
                  14,            0.049629,             0.12076,                   0,             0.96664,             0.96443,             0.98486,             0.63654,            0.046697,             0.10191,                   0,          0.00097426,          0.00097426,          0.00097426
                  15,            0.050622,             0.11934,                   0,             0.98127,             0.96443,             0.99035,             0.64237,            0.045976,             0.10029,                   0,          0.00097228,          0.00097228,          0.00097228
                  16,            0.051427,             0.11605,                   0,              0.8433,             0.91468,             0.93966,             0.59279,            0.049409,              0.1061,                   0,           0.0009703,           0.0009703,           0.0009703
                  17,            0.051399,             0.11752,                   0,              0.9706,             0.94466,             0.98609,             0.62554,            0.050055,             0.10304,                   0,          0.00096832,          0.00096832,          0.00096832
